feature,mean_baseline,mean_extended,mean_abs_change,max_abs_change,pct_changed
hsv_mean_s,0.35544,0.33773,0.01914,0.51646,40.05141
hsv_mean_v,0.61474,0.62437,0.01316,0.36493,40.46272
hsv_std_s,0.09002,0.08273,0.00854,0.20629,40.15424
sp_hsv_std_s,0.08048,0.07463,0.0074,0.21812,40.60731
rel_hsv_diff_s,0.06177,0.0561,0.00679,0.3088,40.25707
hsv_std_v,0.07862,0.07642,0.00672,0.23296,40.56555
sp_hsv_std_v,0.0701,0.07,0.00538,0.25588,40.55584
rel_hsv_diff_v,0.05802,0.05658,0.00427,0.165,40.51414
hsv_mean_h,0.64494,0.64557,0.00205,0.17857,38.509
sp_hsv_std_h,0.03764,0.03828,0.00161,0.06423,40.29851
hsv_std_h,0.04447,0.04462,0.00156,0.06537,38.97172
rel_hsv_diff_h,0.02817,0.02787,0.00126,0.06285,38.92031
symmetry,0.77844,0.77844,0.0,0.0,0.0
border,0.7347,0.7347,0.0,0.0,0.0
diameter,0.96773,0.96773,0.0,0.0,0.0
